dateTime;next_dateTime;arr_volume_group;dep_volume_group;volume_group;metarKey;noPhenDetected;recent;intensity;characteristic;phenomenon1;phenomenon2;phenomenon3
2019-08-03 00:00:00.000;2019-08-03 00:30:00.000;BAJA;BAJA;BAJA;4796039;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-03 02:30:00.000;2019-08-03 03:00:00.000;MEDIA;BAJA;BAJA;4796044;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-03 03:30:00.000;2019-08-03 04:00:00.000;MEDIA;BAJA;BAJA;4796046;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-03 07:00:00.000;2019-08-03 07:30:00.000;MEDIA;ALTA;ALTA;4796053;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-03 08:00:00.000;2019-08-03 08:30:00.000;ALTA;MEDIA;MEDIA;4796055;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-03 15:00:00.000;2019-08-03 15:30:00.000;MEDIA;ALTA;MEDIA;4796069;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-03 16:00:00.000;2019-08-03 16:30:00.000;MEDIA;MEDIA;MEDIA;4796071;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-03 19:30:00.000;2019-08-03 20:00:00.000;ALTA;MEDIA;MEDIA;4796078;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-03 20:30:00.000;2019-08-03 21:00:00.000;ALTA;MEDIA;MEDIA;4796080;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-04 01:30:00.000;2019-08-04 02:00:00.000;BAJA;BAJA;BAJA;4798584;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-04 02:30:00.000;2019-08-04 03:00:00.000;BAJA;BAJA;BAJA;4798586;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-04 06:00:00.000;2019-08-04 06:30:00.000;MEDIA;MEDIA;MEDIA;4798593;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-04 07:00:00.000;2019-08-04 07:30:00.000;MEDIA;ALTA;ALTA;4798595;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-04 10:30:00.000;2019-08-04 11:00:00.000;MEDIA;MEDIA;MEDIA;4798602;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-04 14:00:00.000;2019-08-04 14:30:00.000;ALTA;ALTA;ALTA;4798609;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-04 15:00:00.000;2019-08-04 15:30:00.000;MEDIA;ALTA;MEDIA;4798611;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-04 16:00:00.000;2019-08-04 16:30:00.000;MEDIA;MEDIA;MEDIA;4798613;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-04 18:30:00.000;2019-08-04 19:00:00.000;ALTA;MEDIA;MEDIA;4798618;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-04 19:30:00.000;2019-08-04 20:00:00.000;ALTA;MEDIA;ALTA;4798620;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-04 23:00:00.000;2019-08-04 23:30:00.000;MEDIA;BAJA;BAJA;4798627;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-05 00:00:00.000;2019-08-05 00:30:00.000;BAJA;BAJA;BAJA;4801078;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-05 02:30:00.000;2019-08-05 03:00:00.000;MEDIA;BAJA;BAJA;4801083;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-05 03:30:00.000;2019-08-05 04:00:00.000;MEDIA;BAJA;BAJA;4801085;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-05 07:00:00.000;2019-08-05 07:30:00.000;ALTA;ALTA;ALTA;4801092;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-05 08:00:00.000;2019-08-05 08:30:00.000;ALTA;MEDIA;ALTA;4801094;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-05 10:30:00.000;2019-08-05 11:00:00.000;MEDIA;ALTA;MEDIA;4801099;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-05 15:00:00.000;2019-08-05 15:30:00.000;MEDIA;ALTA;ALTA;4801108;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-05 16:00:00.000;2019-08-05 16:30:00.000;MEDIA;MEDIA;MEDIA;4801110;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-05 19:30:00.000;2019-08-05 20:00:00.000;ALTA;MEDIA;MEDIA;4801117;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-05 20:30:00.000;2019-08-05 21:00:00.000;ALTA;MEDIA;MEDIA;4801119;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-06 00:30:00.000;2019-08-06 01:00:00.000;BAJA;BAJA;BAJA;4803598;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-06 01:30:00.000;2019-08-06 02:00:00.000;BAJA;BAJA;BAJA;4803600;0;0;NULL;NULL;NULL;NULL;NULL
2019-08-06 05:00:00.000;2019-08-06 05:30:00.000;MEDIA;ALTA;MEDIA;4803607;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-25 17:30:00.000;2019-09-25 18:00:00.000;MEDIA;ALTA;MEDIA;4930159;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-25 18:00:00.000;2019-09-25 18:30:00.000;ALTA;ALTA;ALTA;4930160;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-25 18:30:00.000;2019-09-25 19:00:00.000;ALTA;MEDIA;MEDIA;4930161;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-26 03:30:00.000;2019-09-26 04:00:00.000;MEDIA;BAJA;MEDIA;4932664;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-26 04:00:00.000;2019-09-26 04:30:00.000;MEDIA;MEDIA;MEDIA;4932665;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-26 04:30:00.000;2019-09-26 05:00:00.000;MEDIA;MEDIA;MEDIA;4932666;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-26 05:00:00.000;2019-09-26 05:30:00.000;MEDIA;ALTA;MEDIA;4932667;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-26 13:00:00.000;2019-09-26 13:30:00.000;ALTA;ALTA;ALTA;4932683;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-26 13:30:00.000;2019-09-26 14:00:00.000;MEDIA;ALTA;MEDIA;4932684;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-26 20:30:00.000;2019-09-26 21:00:00.000;ALTA;MEDIA;MEDIA;4932698;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-26 21:00:00.000;2019-09-26 21:30:00.000;MEDIA;MEDIA;MEDIA;4932699;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-26 21:30:00.000;2019-09-26 22:00:00.000;MEDIA;MEDIA;MEDIA;4932700;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-26 22:00:00.000;2019-09-26 22:30:00.000;MEDIA;MEDIA;MEDIA;4932701;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-27 06:30:00.000;2019-09-27 07:00:00.000;MEDIA;MEDIA;MEDIA;4935188;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-27 07:00:00.000;2019-09-27 07:30:00.000;ALTA;ALTA;ALTA;4935189;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-27 07:30:00.000;2019-09-27 08:00:00.000;ALTA;MEDIA;ALTA;4935190;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-27 08:00:00.000;2019-09-27 08:30:00.000;ALTA;MEDIA;ALTA;4935191;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-27 15:00:00.000;2019-09-27 15:30:00.000;MEDIA;ALTA;ALTA;4935205;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-27 15:30:00.000;2019-09-27 16:00:00.000;MEDIA;ALTA;MEDIA;4935206;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-27 16:00:00.000;2019-09-27 16:30:00.000;MEDIA;MEDIA;MEDIA;4935207;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-27 16:30:00.000;2019-09-27 17:00:00.000;ALTA;ALTA;ALTA;4935208;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-27 23:00:00.000;2019-09-27 23:30:00.000;BAJA;BAJA;BAJA;4935221;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-27 23:30:00.000;2019-09-28 00:00:00.000;BAJA;BAJA;BAJA;4935222;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 00:00:00.000;2019-09-28 00:30:00.000;BAJA;BAJA;BAJA;4937711;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 00:30:00.000;2019-09-28 01:00:00.000;BAJA;BAJA;BAJA;4937712;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 01:00:00.000;2019-09-28 01:30:00.000;BAJA;BAJA;BAJA;4937713;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 01:30:00.000;2019-09-28 02:00:00.000;BAJA;BAJA;BAJA;4937714;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 02:00:00.000;2019-09-28 02:30:00.000;BAJA;BAJA;BAJA;4937715;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 08:30:00.000;2019-09-28 09:00:00.000;ALTA;ALTA;ALTA;4937728;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 09:00:00.000;2019-09-28 09:30:00.000;MEDIA;ALTA;MEDIA;4937729;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 09:30:00.000;2019-09-28 10:00:00.000;MEDIA;ALTA;MEDIA;4937730;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 10:00:00.000;2019-09-28 10:30:00.000;MEDIA;ALTA;MEDIA;4937731;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 17:00:00.000;2019-09-28 17:30:00.000;MEDIA;MEDIA;MEDIA;4937745;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 17:30:00.000;2019-09-28 18:00:00.000;MEDIA;MEDIA;MEDIA;4937746;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 18:00:00.000;2019-09-28 18:30:00.000;ALTA;ALTA;ALTA;4937747;0;0;NULL;NULL;NULL;NULL;NULL
2019-09-28 18:30:00.000;2019-09-28 19:00:00.000;MEDIA;MEDIA;MEDIA;4937748;0;0;NULL;NULL;NULL;NULL;NULL
